brand,name,price,rating,ingredients,contains_parabens
CAUDALIE,Resveratrol Lift Face Lifting Soft Cream,76.0,3.9,"-Vine Resveratrol with Micro Hyaluronic Acids: Supports antiaging; supports the skin's production of natural hyaluronic acid.
-Peptides: Help create the appearance of lifted, redefined contours.
-Grape Oil and Shea Butter: Nourish skin.
-Soft Focus Pigments: Instantly smooth and blur the look of imperfections.

Water, Coco-Caprylate/Caprate*, Caprylic/Capric Triglyceride*, Octyldodecyl Myristate*, Glycerin*, Butyrospermum Parkii (Shea) Butter Extract*, Butylene Glycol, Cetearyl Alcohol*, C12-16 Alcohols*, Methyl Methacrylate Crosspolymer, Vitis Vinifera (Grape) Seed Oil*, Polymethyl Methacrylate, Cetearyl Glucoside*, Polyacrylate Crosspolymer-6, Ci 77891 (Titanium Dioxide), Hydrogenated Lecithin*, Palmitic Acid*, Fragrance, Potassium Cetyl Phosphate, Palmitoyl Grapevine Shoot Extract*, Caprylyl Glycol, Ci 77019 (Mica), Tocopherol*, Helianthus Annuus (Sunflower) Seed Oil*, Sorbitan Laurate*, Xanthan Gum, Hydrolyzed Hyaluronic Acid , Hydroxyethylcellulose*, Acetyl Dipeptide-1 Cetyl Ester, Hyaluronic Acid, Sodium Phytate*, Dehydroacetic Acid, Silica, Sodium Hydroxide, , Tin Oxide, Alcohol*, Citric Acid*, Benzyl Alcohol , Butylphenyl Methylpropional, Coumarin, Limonene, Linalool. *Plant Origin.",0
SHISEIDO,White Lucent MultiBright Night Cream,92.0,4.1,Visit the Shiseido boutique,0
DR. DENNIS GROSS SKINCARE,C+ Collagen Deep Cream,72.0,4.2,"-E-O-Ethyl Ascorbic Acid: Maintains its acidic properties to penetrate into the skin, minimizing and preventing the appearance of hyperpigmentation, fine lines, and wrinkles.
-Collagen Amino Acids: Plant sourced collagen; smaller molecular weight amino acids which are the building blocks of peptides and proteins.
-Energy Complex: Supports natural cellular metabolism and contains antioxidant properties.
-Camellia Japonica Seed Oil: Moisturizes and contains anti-inflammatory properties.

Water, Glycerin, Butylene Glycol, Camellia Japonica Seed Oil, Oryza Sativa (Rice) Bran Oil, Dimethicone, Sucrose, Pentylene Glycol, Helianthus Annuus (Sunflower) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 3-O-Ethyl Ascorbic Acid, Collagen Amino Acids, Niacinamide, Carnitine HCl, Hydroxyproline, Glycine, Carnitine, Squalane, Dipotassium Glycyrrhizate, Tocopherol, Saccharide Isomerate, Acetyl Hexapeptide-8, Superoxide Dismutase, Leuconostoc/Radish Root Ferment Filtrate, Ubiquinone, Aloe Barbadensis Leaf Juice, Camellia Sinensis Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Lactobacillus Ferment, Undaria Pinnatifida Extract, Glycolic Acid, Lecithin, Biotin, Maltodextrin, Elettaria Cardamomum Seed Extract, Pyrus Malus (Apple) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Cananga Odorata Flower Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Coffea Arabica (Coffee) Seed Extract, Cucumis Melo (Melon) Fruit Extract, Cupressus Sempervirens Leaf/Stem Extract, Fucus Vesiculosus Extract, Jasminum Officinale (Jasmine) Flower Extract, Rose Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Santalum Album (Sandalwood) Wood Extract, Triethyl Citrate, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, 1,2-Hexanediol, Sorbitan Isostearate, Caprylyl Glycol, Hydroxyethylcellulose, Sodium Phytate, Sodium Citrate, Citric Acid, Trisodium EDTA, Ammonium Hydroxide, Tromethamine, Potassium Hydroxide, Polysorbate 60, Carbomer, Alcohol, Disodium Phosphate, Sodium Phosphate, Phenoxyethanol, Potassium Sorbate.",0
KORRES,Wild Rose Vitamin C Active Brightening Oil,54.0,4.4,"-Super Vitamin C: Absorbs 1,000 percent better than pure ascorbic acid, and minimizes the appearance of skin discolorations.
-Wild Rose Oil: Helps to improve the appearance of fine lines and even skin tone for a smooth, radiant complexion.
-Camapu Extract: Improves visible signs of aging, and improves skin tone.
-Bisabolol and Ginger Root Extract: Defend against redness caused by air pollutants, extreme temperatures, UV rays, and harsh cleansers.

Isoamyl Laurate, Caprylic/Capric Triglyceride, Prunus Armeniaca (Apricot) Kernel Oil, Ascorbyl Tetraisopalmitate, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Dimethyl Isosorbide, Rosa Canina Fruit Oil, Rosa Gallica Flower Powder, Alcohol Denat., Water, Bisabolol, Citronellol, Geraniol, Glyceryl Caprylate, Physalis Angulata Extract, Rosa Damascena Flower Oil, Rosmarinus Officinalis (Rosemary) Extract, Tocopherol, Tocopheryl Acetate, Zingiber Officinale (Ginger) Root Extract.",0
CLINIQUE,Limited Edition Dramatically Different™ Moisturizing Gel,39.0,5.0,"Water, Dimethicone, Isododecane, Butylene Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Glycerin, Laminaria Saccharina Extract, Polygonum Cuspidatum Root Extract, Saccharomyces Lysate Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Helianthus Annuus (Sunflower) Seedcake, Caffeine, Trehalose, Sodium Hyaluronate, Tocopheryl Acetate, Chamomilla Recutita (Matricaria), Polysilicone-11, Silica, Propylene Glycol Dicaprate, Oleth-10, Lactobacillus Ferment, Laureth-23, Laureth-4, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Carbomer, Caprylyl Glycol, Hexylene Glycol, Tromethamine, Disodium Edta, Phenoxyethanol, Potassium Sorbate, Yellow 5 (Ci 19140), Red 4 (Ci 14700), Yellow 6 (Ci 15985).",0
SATURDAY SKIN,Waterfall Glacier Water Cream,39.0,4.6,"-Alaska Glacier Water: Mineral-rich water protects skin from free radicals while promoting optimal absorption of moisture.
-Xpertmoist: A fusion of ferment extract and amino acids that shields skin from dehydration while improving skin vitality.
-Iceland Moss: Calms and reduces redness while promoting hydration.
-Cha-7 es Complex™: An exclusive peptide formula that promotes skin's natural regeneration process.

Water, Glycerin, Propanediol, 1,2-Hexanediol, Betaine, Pentylene Glycol, Polymehtylsilsequioxane, Sodium Acrylate/Sodium Acryloyldimethyl Taureate Copolymer, Cyclohexasiloxane, Isohexadecane, Hydroxyethyl Acrylate/Soduium Acryloyldimethyl Taurate Copolymer, Cyclopentasiloxane, Isohexadecane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Polysorbate 80, Ethylhexylglycerin, Sorbitan Oleate, Disodium EDTA, Glyceryl Acrylate/Acrylic Acid Copolymer, Caprylyl Glycol, Hydrogenated Lecithin, Cetraria Islandica Extract, Ferment Extract, Xanthan Gum, Phenoxyethanol, Alanine, Proline, Serine, Sodium Phosphate, Sodium Hydroxide, sh-Oligopeptide-1, sh-Polypeptide-1, sh-Oligopeptide-2, sh-Polypeptide-22, sh-Polypeptide-45, sh-Polypeptide-8, sh-Polypeptide-9.",0
SHISEIDO,Bio-Performance Glow Revival Cream,105.0,4.8,"-Multi-Capisolve 1124™: Targets skin's capillaries to improve resilience and the appearance of evenness and clarity.
-RenoCycle System: Helps promote a smoother cell renewal process to further improve the appearance of the complexion.
-Super Bio-Hyaluronic Acid Plus: Replenishes skin with rich moisture and the formula's creamy velvety texture spreads easily and absorbs quickly for dewy, supple skin.

Water, Dipropylene Glycol, Dimethicone, Glycerin, Sd Alcohol 40-B (Alcohol Denat.), Triethylhexanoin, Diphenylsiloxy Phenyl Trimethicone, Hydrogenated Polydecene, Phytosteryl Macadamiate, Dimethicone Crosspolymer, Microcrystalline Wax(Cera Microcristallina/Cire Microcristalline), Behenyl Alcohol, Glyceryl Stearate Se, Talc, Trehalose, Peg/Ppg-14/7 Dimethyl Ether, Hydrogenated Polyisobutene, Methyl Methacrylate Crosspolymer, Stearyl Alcohol, Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer, Polysorbate 60, Peg-40 Stearate, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891), Sorbitan Tristearate, Disodium Edta, Tocopheryl Acetate, Caffeine, Sodium Citrate, Fragrance (Parfum), 2-O-Ethyl Ascorbic Acid, Silica, Butylene Glycol, Sodium Metaphosphate, Limonene, Citric Acid, Xylitol, Oryzanol, Magnesium Ascorbyl Phosphate, Alcohol, Hexyl Cinnamal, Benzyl Benzoate, Butylphenyl Methylpropional, Linalool, Sodium Metabisulfite, Sodium Acetylated Hyaluronate, Iron Oxides (Ci 77491), Alpha-Isomethyl Ionone, Saccharomyces Ferment Lysate Filtrate, Crataegus Monogyna Flower Extract, Citronellol, Geraniol, Dipotassium Glycyrrhizate, Tocopherol, Paeonia Suffruticosa Root Extract, Rehmannia Chinensis Root Extract, Cinnamomum Cassia Bark Extract, Bupleurum Falcatum Root Extract, Camellia Sinensis Leaf Extract.",0
SEPHORA COLLECTION,Sleeping Mask,4.0,4.2,"-Green Tea Extract: Provides antioxidant properties.
-Buchu Extract: Purifies and mattifies.

Water, Butylene Glycol, Glycerin, Betaine, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tremella Fuciformis (Mushroom) Extract, Ethylhexylglycerin, Sodium Hydroxide, Barosma Betulina Leaf Extract, Peg-40 Hydrogenated Castor Oil, Sodium Hyaluronate, Fragrance, Camellia Sinensis Leaf Extract, Citric Acid, Linalool, Potassium Sorbate, Sodium Benzoate, CI 19140 (Yellow 5), CI 42090 (Blue 1).",0
BELIF,Hungarian Water Essence,42.0,4.3,"-Rosemary: Detoxifies skin, leaving it smooth, soft, and clear.

Water, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Rosmarinus Officinalis (Rosemary) Extract, Centella Asiatica Extract, Lavandula Angustifolia (Lavender) Extract, Salvia Officinalis(Sage) Leaf Extract, Melissa Officinalis Leaf Extract, Achillea Millefolium Extract, Peucedanum Graveolens (Dill) Extract, Alchemilla Vulgaris Extract, Rose Extract, Poncirus Trifoliata Fruit Extract, Portulaca Oleracea Extract, *Avena Sativa (Oat) Kernel Extract, *Calendula Officinalis Flower Extract, *Nepeta Cataria Extract, *Rubus Idaeus (Raspberry) Leaf Extract, *Baptisia Tinctoria Root Extract, *Stellaria Media (Chickweed) Extract, +Alchemilla Vulgaris Leaf Extract, **Equisetum Arvense Leaf Extract, **Urtica Dioica (Nettle) Leaf Extract, **Plantago Lanceolata Leaf Extract, Sodium Hyaluronate, Cyclopentasiloxane, Triethylhexanoin, Tromethamine, Sclerotium Gum, Ammonium Acryloyldimethltaurate/Vp Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium EDTA, ***Fragrance, Citronnellol, Limonene. *Napiers Original Formula. **Napiers Aqua Formula. ***Fragrances of Natural Origin.",0
JOSIE MARAN,100 percent Pure Argan Oil Light,48.0,4.4,"-Argan Oil: Balances, protects, and hydrates skin with essential fatty acids, vitamin E, and antioxidants.

Argan Oil Isostearyl Esters**. **Natural.",0
MILK MAKEUP,Cooling Water,24.0,3.8,"-Caffeine: Acts as an anti-inflammatory known for de-puffing.
-Sea Water: Acts as an anti-inflammatory; soothes.
-Aloe Barbadensis Leaf Juice: Soothes and contains anti-inflammatory properties.
-Kappaphycus Alvarezii Extract: Hydrates.

Water, Butylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Sodium Stearate, Pentylene Glycol, Isosteareth-2, Glycerin, Sea Water, Manganese Gluconate, Nylon-12, Caffeine, Phenoxyethanol, Chlorphesin, Blue 1.",0
ESTÉE LAUDER,"Resilience Lift Firming/Sculpting Face and Neck Creme Broad Spectrum SPF 15, Normal/Combination Skin",108.0,4.1,"Res Lift Firm/Sclp Face Nc Spf15 Division: El (Estee Lauder)Active Ingredients: Avobenzone 3.00% , Octisalate 5.00% , Octocrylene 2.70%Ingredients: Water , Neopentyl Glycol Diheptanoate , Cetyl Alcohol , Pentaerythrityl Tetraethylhexanoate , Glycerin , Polyethylene , Butyloctyl Salicylate , Di-C12-15 Alkyl Fumarate , Petrolatum , Hydrogenated Lecithin , Butylene Glycol , Propanediol , Hydrogenated Polyisobutene , Octyldodecyl Myristate , Hexyldecyl Stearate , Dimethicone , Glyceryl Stearate , Laminaria Digitata Extract , Behenyl Alcohol , Algae Extract , Persea Gratissima (Avocado) Oil , Coleus Barbatus Extract , Cucumis Melo (Melon) Fruit Extract , Potato Starch Modified , Mimosa Tenuiflora Bark Extract , Yeast Extract/Faex/Extrait De Levure , Plankton Extract , Aminopropyl Ascorbyl Phosphate , Thermus Thermophillus Ferment , Saccharomyces Ferment Lysate Filtrate , Artemia Extract , C12-16 Alcohols , Acetyl Glucosamine , Linoleic Acid , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Peg-100 Stearate , Tocopheryl Acetate , Caffeine , Ergothioneine , Glycine Soja (Soybean) Sterols , Decarboxy Carnosine Hcl , Palmitic Acid , Creatine , Ethylhexylglycerin , Polymethyl Methacrylate , Trehalose , Glucose , Sodium Hyaluronate , Sorbitol , Zinc Pca , Cholesterol , Malachite , Acetyl Hexapeptide-8 , Maltodextrin , Lecithin , Acrylamide/Sodium Acryloyldimethyltaurate Copolymer , Isohexadecane , Sodium Hydroxide , Polysorbate 80 , Lactoperoxidase , Hexylene Glycol , Hydrogenated Starch Hydrolysate , Potassium Sulfate , Glucose Oxidase , Polysilicone-11 , Propylene Glycol Dicaprylate , Xanthan Gum , Caprylyl Glycol , Citric Acid , Fragrance , Bht , Disodium Edta , Phenoxyethanol , Potassium Sorbate , Mica , Titanium Dioxide (Ci 77891) , Red 4 (Ci 14700) , Yellow 5 (Ci 19140)",0
ESTÉE LAUDER,Resilience Lift Night Lifting/Firming Face and Neck Creme,92.0,4.2,Visit the Estée Lauder boutique,0
OLEHENRIKSEN,Truth Revealed™ Brightening Broad Spectrum SPF 15 Moisturizer,55.0,4.2,"-Vitamin C Derivatives: Help brighten skin and target visible signs of aging.
-Microalgae and Palmitoyl Tripeptide-5: Help visibly firm and smooth skin.
-Omega-3: Helps nourish and hydrate with essential fatty acids.
-Carrot and Chamomile Extracts: Help condition skin.
-Avobenzone 2%, Octinoxate 4%, and Octisalate 4%

Water, Cocoglycerides, Ethylhexyl Salicylate, Ethylhexyl Methoxycinnamate, Glycerin, Cetearyl Alcohol, Butyl Methoxydibenzoylmethane, Glyceryl Stearate, Ceteareth-20, PEG-100 Stearate, Dimethicone, Phenoxyethanol, Parfum/Fragrance, Tetrahexyldecyl Ascorbate, Polyacrylate-13, Aminomethyl Propanol, Pullulan, Plukenetia Volubilis Seed Oil, Carbomer, Vaccinium Myrtillus (Bilberry) Fruit Extract, Tocopheryl Acetate, Polyisobutene, Allantoin, Saccharum Officinarum (Sugar Cane) Extract, Ethylhexylglycerin, Potassium Sorbate, Bisabolol, Nannochloropsis Oculata Extract, Tetrasodium Glutamate Diacetate, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Polysorbate 20, Aroma/Flavor, Sorbitan Isostearate, Acer Saccharum (Sugar Maple) Extract, Aloe Barbadensis Leaf Juice, Avena Sativa (Oat) Kernel Extract, Chamomilla Recutita (Matricaria) Flower Extract, Corylus Americana (Hazel) Seed Extract, Daucus Carota Sativa (Carrot) Root Extract, Palmitoyl Tripeptide-5, Chondrus Crispus (Carrageenan) Extract, Sodium Benzoate, BHT, Schinus Terebinthifolius Seed Extract, Sodium Hydroxide, Citric Acid, Calcium Ascorbate, Sodium Hyaluronate, Tocopherol, Benzyl Benzoate, Citral, Limonene, Linalool, Benzyl Alcohol.",0
DIOR,Capture Totale Multi-Perfection Creme,165.0,4.4,Visit the Dior boutique,0
CLINIQUE,Moisture Surge Hydrating Supercharged Concentrate,39.0,4.0,"Water , Glycerin , Butylene Glycol , Phenyl Trimethicone , Propanediol , Sucrose , Hydroxyethyl Urea , Alteromonas Ferment Extract , Hydrolyzed Rice Extract , Acetyl Glucosamine , Trehalose , Algae Extract , Caffeine , Cholesterol , Aloe Barbadensis Leaf Water , Sodium Hyaluronate , Pentaerythrityl Tetraethylhexanoate , Dextrin Palmitate , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Sorbitol , Sodium Polyaspartate , Tocopheryl Acetate , Carbomer , Dehydroxanthan Gum , Citric Acid , Tetrahexyldecyl Ascorbate , Benzophenone-4 , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate , Sodium Hydroxide , Sodium Citrate , Disodium Edta , Bht , Chlorphenesin , Phenoxyethanol , Red 4 (Ci 14700) , Yellow 5 (Ci 19140)",0
PHILOSOPHY,Miraculous Anti-wrinkle Miracle Worker,60.0,4.3,Visit the philosophy boutique,0
KIEHL'S SINCE 1851,Ultra Facial Overnight Hydrating Mask,35.0,4.4,"-Fountain Plant: Helps boost the natural ability to retain water and aids in increasing skin’s production of humectants.
-Glycerin: Retains moisture, while softening and smoothing skin.
-Squalane: Helps restore skin’s natural moisture balance to keep it extra soft and supple.

Water Glycerin, Propylene Glycol, Squalane, Shea Butter, Triethanolamine, Carbomer, Urea, Dimethicone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Phenoxyethanol, Caprylyl Glycol, Imperata Cylindrica Root Extract, Ophiopogon Japonicus Root Extract, Sodium Citrate, Citric Acid, Aluminum Starch Octenylsuccinate, Chlorphenesin, Pseudoalteromonas Ferment Extract, Disodium Edta, Acrylates/C10-30 Alkyl Acrylate Crosspolymer.",0
SK-II,Cellumination Cream EX,160.0,4.3,"-Pitera™: A bio-ingredient rich in vitamins, organic acids, minerals, and amino acids that work together to support skin’s natural cell renewal process.
-Aura Bright Cocktail EX: A combination of niacinamide (Vitamin B3), centella asiatica extract, concentrated Pitera, and Pixel-White that helps improve the look of skin’s surface tone, dark spots, firmness, and surface texture, while supporting the rate of exfoliation.

Water, Galactomyces Ferment Filtrate (Pitera), Glycerin, Niacinamide, Butylene Glycol, Pentylene Glycol, Diphenylsiloxy Phenyl Trimethicone, Glycereth-25 PCA Isostearate, Dipotassium Glycyrrhizate, Ascorbyl Glucoside, Centella Asiatica Extract, Nylon-12, Sodium Hyaluronate, Saccharomyces Cerevisiae Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Disodium EDTA, Xanthan Gum, Benzyl Alcohol, Sodium Benzoate, Phenoxyethanol, Methylparaben, Fragrance.",1
LANCÔME,BIENFAIT MULTI-VITAL - SPF 30 CREAM - High Potency Vitamin Enriched Daily Moisturizing Cream,49.0,4.3,"Water, Dimethicone, Glycerin, Alcohol Denat., Vp/Eicosene Copolymer, Hydrogenated Polyisobutene, Aluminum Starch Octenylsuccinate, Sucrose Stearate, Silica, Poly C10-30 Alkyl Acrylate, Ribes Nigrum (Black Currant) Seed Oil, Tocopheryl Acetate, Ascorbyl Glucoside, Sodium Polyacrylate, Sodium Hydroxide, Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Phenoxyethanol, Stearic Acid, Thermus Thermophillus Ferment, Eugenol, Ethylparaben, Triethanolamine, Palmitic Acid, Helianthus Annuus (Sunflower) Seed Oil, Dimethiconol, Panthenol, Xanthan Gum, Benzyl Salicylate, Benzyl Alcohol, Linalool, Oxothiazolidinecarboxylic Acid, Caprylyl Glycol, Alpha-Isomethyl Ionone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Geraniol, Moringa Pterygosperma Seed Extract, Disodium Edta, Castanea Sativa (Chestnut) Seed Extract, Rosa Canina Fruit Oil, Methylparaben, Citronellol, Hexyldecanol, Hexyldecyl Laurate, Hexyl Cinnamal. Fragrance.",1
CAUDALIE,Vine[activ] Overnight Detox Oil,50.0,4.5,"-Grape Seed Oil: Regenerates and moisturizes.
-Organic Essential Oils of Carrot, Lavender, and White Sandalwood: Detoxify.
-Sweet Almond Oil, Rosemary Extract, and Neroli Essential Oil: Fight fatigue.

Caprylic/Capric Triglyceride, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Rosa Canina Fruit Oil*, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil*, Daucus Carota Sativa (Carrot) Seed Oil, Santalum Album (Sandalwood) Oil, Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Amara (Bitter Orange) Flower Oil*, Lavandula Angustifolia (Lavender) Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citral, Limonene, Geraniol, Linalool, Farnesol (07-49-05) *.",0
CLARINS,Extra-Firming Neck Anti-Wrinkle Rejuvenating Cream,90.0,4.1,"-Sunflower Auxins: Promote visible firmness and elasticity, reducing the appearance of lines and wrinkles.
-Green Seaweed Extract: Visibly plumps and smooths.
-Oat Sugars: Help firm and smooth for a visible lifting effect.
-Extra-firming Complex: Helps improve the look of firmness, tone, and wrinkles.

Water, Dimethicone, Cetearyl Isononanoate, Glycerin, Alcohol, Cetearyl Alcohol, Cetearyl Ethylhexanoate, C14-22 Alcohols, Cetearyl Glucoside, Phenoxyethanol, Fragrance, C12-20 Alkyl Glucoside, Hdi/Trimethylol Hexyllactone Crosspolymer, Carbomer, Tromethamine, Tocopheryl Acetate, Ethylhexylglycerin, Avena Sativa (Oat) Kernel Extract, Disodium Edta, Hydrolyzed Ulva Lactuca Extract, Potassium Cetyl Phosphate, Musa Sapientum (Banana) Fruit Extract, Bht, Helianthus Annuus (Sunflower) Extract, Silica, Thymus Citriodorus Flower/Leaf Extract, Sodium Benzoate, Steareth-20, Potassium Sorbate, Ci 15985/Yellow 6.",0
AMOREPACIFIC,MOISTURE BOUND Rejuvenating Crème,150.0,4.1,"-Bamboo Sap: Supports natural cellular turnover and regeneration.
-Aqua Sponge Complex™: Supports natural Hyaluronic acid production.
-Ginger Root Extract: Creates a more radiant complexion.
-9 Essential Amino Acids: Revitalize and hydrate the skin, increasing radiance and vitality.

Phyllostachis Bambusoides Juice, Butylene Glycol, Water, Alcohol, Glycerin, Butylene Glycol Dicaprylate/Dicaprate, Dimethicone, Pentaerythrityl Tetraethylhexanoate, Squalane, Caprylic/Capric Triglyceride, Camellia Sinensis Leaf Extract, Cetearyl Alcohol, C14-22 Alcohols, Opuntia Coccinellifera Fruit Extract, Glycine Soja (Soybean) Seed Extract, Nelumbo Nucifera Flower Extract, Hydrolyzed Phyllostachis Bambusoides, Hydrolyzed Camellia Sinensis Leaf, Sodium Hyaluronate, Beta-Glucan, Hydroxypropyl Bispalmitamide Mea, Theanine, Camellia Sinensis Flower Extract, Kaempferol, Epigallocatechin Gallate, Xylitylglucoside, Anhydroxylitol, Xylitol, Stearyl Behenate, Cyclopentasiloxane, Cetearyl Olivate, Stearic Acid, Sorbitan Olivate, Dimethiconol, Limnanthes Alba (Meadowfoam) Seed Oil, Propanediol, Glyceryl Stearate, Peg-100 Stearate, Polyacrylate-13, C12-20 Alkyl Glucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyglyceryl-3 Methylglucose Distearate, Polyisobutene, Tocopherol, Polysorbate 20, Ethylhexylglycerin, Peg-15 Pentaerythrityl Tetra(Laureth-6 Carboxylate), Phytantriol, Poloxamer 407, Inulin Lauryl Carbamate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Caffeine, Disodium Edta, Phenoxyethanol, Fragrance.",0
FRESH,Crème Ancienne® Soft Cream,145.0,4.2,"-Meadowfoam Seed Oil: A unique fatty acid, which is easily absorbed by the skin to provide supreme nourishment.
-Echinacea Extract: Helps to improve the skin’s resilience to environmental aggressors and promote a radiant glow.
-Vitamin E: Offers antioxidant protection against wrinkle-causing free radicals.
-Chamomile Wax: Helps to decrease dry spots, soften the skin, and create a light, moisture-preserving veil.",0
ERBORIAN,BB Crème au Ginseng,39.0,4.4,"-Ethylhexy l Methoxycinnamate, Octinoxate, Titanium Dioxide, and Zinc Oxide: Provide sunscreen properties.
-Ginseng: Moisturizes and smooths.

Water, Cyclomethicone, Glycerin, Peg-10 Dimethicone, Dipropylene Glycol, Di-Methicone, Talc, Isoeicosane, Hexyl Laurate, Disteardimonium Hectorite, Betaine, Panax Ginseng Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Portulaca Oleracea Extract, Dioscorea Villosa (Wild Yam) Root Extract, Mequisetum Giganteum Extract, Kigelia Africana Fruit Extract, Hydrogenated Starch Hydrolysate, Ethylhexylglycerin, Tocopheryl Acetate, Magne, Sium Sulfate, Silica, Glycosyl Trehalose, Aluminum Hydroxide, Palmitic Acid, Stearic Acid, Phenoxyethanol , Butylene Glycol, Acrylates/Dimethicone Co -Polymer, Dimethicone /Vinyl Di-Methicone Crosspolymer, Methicone, Vinyl Dimethicone /Methicone Silsesquioxane Crosspolymer, Fragrance, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Linalool, Citronellol, Geraniol , Eugenol, Limonene, Ci 77492/Iron Oxides , Ci 77499/Iron Oxides, Ci 77491/Iron Oxide.",0
DR. JART+,Black Label Detox BB Beauty Balm,36.0,4.1,"-Titanium Dioxide 9.533%
-Zinc Oxide 3.840%
-Green Tea and Aloe Vera: Soothe.
-Caviar: Purifies and regenerates.
-Arbutin: Brightens dark marks and hyperpigmentation.
-Portulaca Oleracea Extract: Soothes.

Water, Cyclopentasiloxane, Dimethicone, Butylene Glycol, Cyclohexasiloxane, Butylene Glycol Dicaprylate/Dicaprate, Cetyl PEG/PPG-10/1 Dimethicone, Glycerin, Sodium Chloride, Silica, Arbutin, Iron Oxides, Disteardimonium Hectorite, Calcium Stearate, Dimethicone/Vinyl Dimethicone, Crosspolymer, Talc, Sorbitan Olivate, Caprylyl Glycol, Polyglyceryl-4 Isostearate, Hexyl Laurate, Propylene Carbonate, Triethoxycaprylylsilane, Phenoxyethanol, Ethlhexylglycerin, Tocopheryl Acetate, Hydrogren Dimethicone, Aluminum Hydroxide, Sorbitan Isostearate, Ozokerite, Diisostearyl Malate Beeswax, 1,2-Hexanediol, Disodium EDTA, Ubiquinone, Anthemis Nobilis Flower Extract, Camellia Sinensis Leaf Extract, Caviar Extract, Propylene Glycol, Portulaca Oleracea Extract, Alcohol, Ginkgo Biloba Leaf Extract, Aloe Barbadensis Leaf Juice, Glyceryl Caprylate, Potassium Sorbate, Hydrolyzed Collagen, Sodium Benzoate.",0
ALGENIST,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,28.0,4.4,"-Octinoxate 7.5%: Sunscreen.
-Titanium Dioxide 2%: Sunscreen.
-Zinc Oxide 17.1%: Sunscreen.

Cyclopentasiloxane, Water, Alcohol Denat., Glycerin, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Methyl Methacrylate Crosspolymer, PEG/PPG-18/18 Dimethicone, Algae Exopolysaccharides, Echinacea Purpurea Extract, Tocopheryl Acetate, Camellia Oleifera Leaf Extract, Arctostaphylos Uva Ursi Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-9 Polydimethylsiloxyethyl Dimethicone, Stearic Acid, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Ethylhexylglycerin, Caprylyl Glycol, Aluminum Hydroxide, Phenoxyethanol, Hexylene Glycol, Fragrance.",0
